file,score_1_to_10,lines,ruff_issue_count,key_signals,improvement
src/core/chat_pipeline.py,7.4,870,0,size=870L,Split into smaller modules
src/core/chat_store.py,8.2,248,0,clean_static_signals,Keep stable; preserve with tests
src/core/commands.py,7.9,535,0,size=535L,Extract helper functions/components
src/core/config.py,7.3,265,0,pytest_error_path,Fix config path override contract for tests/sandbox
src/core/context_compactor.py,8.2,105,0,clean_static_signals,Keep stable; preserve with tests
src/core/context_manager.py,8.2,192,0,clean_static_signals,Keep stable; preserve with tests
src/core/crash_recovery.py,8.2,212,0,clean_static_signals,Keep stable; preserve with tests
src/core/dag.py,8.2,138,0,clean_static_signals,Keep stable; preserve with tests
src/core/dag_nodes.py,7.9,480,0,size=480L,Extract helper functions/components
src/core/diff_engine.py,8.2,363,0,clean_static_signals,Keep stable; preserve with tests
src/core/elo_tracker.py,8.2,214,0,clean_static_signals,Keep stable; preserve with tests
src/core/events.py,7.9,477,0,size=477L,Extract helper functions/components
src/core/init.py,8.2,104,0,clean_static_signals,Keep stable; preserve with tests
src/core/intent_analyzer.py,8.2,173,0,clean_static_signals,Keep stable; preserve with tests
src/core/logger.py,8.2,258,0,clean_static_signals,Keep stable; preserve with tests
src/core/mcp_client.py,8.2,387,0,clean_static_signals,Keep stable; preserve with tests
src/core/memory.py,8.2,46,0,clean_static_signals,Keep stable; preserve with tests
src/core/mode_manager.py,8.2,141,0,clean_static_signals,Keep stable; preserve with tests
src/core/model_registry.py,8.2,379,0,clean_static_signals,Keep stable; preserve with tests
src/core/orchestrator.py,8.2,169,0,clean_static_signals,Keep stable; preserve with tests
src/core/parallel_dispatcher.py,7.9,464,0,size=464L,Extract helper functions/components
src/core/phase_tracker.py,8.2,390,0,clean_static_signals,Keep stable; preserve with tests
src/core/project_context.py,8.2,249,0,clean_static_signals,Keep stable; preserve with tests
src/core/quality_tiers.py,8.2,113,0,clean_static_signals,Keep stable; preserve with tests
src/core/reflection_engine.py,8.2,309,0,clean_static_signals,Keep stable; preserve with tests
src/core/router.py,8.2,280,0,clean_static_signals,Keep stable; preserve with tests
src/core/security.py,7.9,555,0,size=555L,Extract helper functions/components
src/core/system_prompt.py,8.2,226,0,clean_static_signals,Keep stable; preserve with tests
src/core/task_brief.py,8.2,92,0,clean_static_signals,Keep stable; preserve with tests
src/core/task_tracker.py,8.2,200,0,clean_static_signals,Keep stable; preserve with tests
src/core/workspace.py,8.2,238,0,clean_static_signals,Keep stable; preserve with tests
src/data/models.json,8.2,306,0,clean_static_signals,Keep stable; preserve with tests
src/services/__init__.py,8.2,1,0,clean_static_signals,Keep stable; preserve with tests
src/services/analytics.py,8.2,50,0,clean_static_signals,Keep stable; preserve with tests
